DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4257.9,224.0639,67.4811,122.2078,2.6904,129.2799,17.756,22.2803,21.2184,3.1159,15.6185,5.5914,0.851,122.995,0.01,10.0
4258.1,224.0746,67.6085,122.2131,2.6873,133.9188,17.7189,22.2447,21.1752,3.0856,15.5825,6.0045,0.8465,122.7179,0.01,10.0
4258.5,224.5578,67.6691,121.5841,2.684,135.811,17.2695,21.7681,20.7431,2.9162,17.3951,6.1526,0.8357,122.199,0.01,10.0
4258.9,222.9022,66.6712,120.597,2.6794,133.9862,16.2441,23.3678,22.3142,3.0441,18.3303,5.4491,0.832,122.933,0.01,10.0
4259.0,222.8029,66.4722,120.5891,2.678,133.6429,16.1932,24.0089,22.9213,3.0739,18.2526,5.3177,0.832,122.964,0.01,10.0
4259.1,222.8308,66.3385,120.6628,2.6794,133.1282,15.9941,24.5558,23.4302,3.0856,18.0573,5.266,0.8319,123.389,0.01,10.0
4259.2,222.8116,66.3079,120.8091,2.683,131.9153,15.7549,24.9339,23.7739,3.0553,17.6644,5.347,0.7892,123.6501,0.01,10.0
4259.4,221.9958,66.4374,121.1726,2.6913,126.839,15.7537,25.1094,23.9044,2.759,16.6734,5.9987,0.7844,123.721,0.01,10.0
4259.5,221.1487,66.5383,121.4275,2.6927,124.8843,15.7553,25.026,23.8047,2.6003,16.4148,6.319,0.7843,123.8057,0.01,10.0
4259.6,220.2706,66.6602,121.7652,2.6919,124.6076,15.6017,24.8589,23.6225,2.5198,16.3874,6.4884,0.7843,123.814,0.01,10.0
4259.7,219.6198,66.785,122.0945,2.6903,125.935,15.3839,24.5645,23.3176,2.4928,16.3786,6.5875,0.7843,123.9686,0.01,10.0
4259.8,219.4857,66.8954,122.2958,2.6902,127.892,15.2955,24.0872,22.8404,2.5144,16.3144,6.6382,0.7855,123.9778,0.01,10.0
4260.0,221.0282,67.1336,122.3911,2.6962,131.0656,16.0382,22.5753,21.3854,2.6725,15.9114,6.5743,0.7662,123.7418,0.01,10.0
4260.1,222.3645,67.1855,122.3479,2.7,132.0497,16.7028,21.8107,20.6713,2.7681,15.5814,6.5127,0.7397,123.5765,0.01,10.0
4260.3,224.4677,67.1018,121.979,2.7053,133.1088,17.5188,21.1434,20.0874,2.9477,14.7536,6.4267,0.7398,123.4862,0.01,10.0
4260.4,224.8094,67.0196,121.448,2.7076,133.0201,17.3997,21.3407,20.2939,3.0129,14.3237,6.4223,0.7398,123.0293,0.01,10.0
4260.5,224.6498,66.942,120.9348,2.7094,132.4864,16.9421,21.7753,20.7148,3.0436,13.9379,6.4571,0.7398,122.9771,0.01,10.0
4260.6,224.2474,66.8678,120.4855,2.7098,131.7861,16.3633,22.286,21.1968,3.0205,13.666,6.5516,0.7433,122.5975,0.01,10.0
4260.7,223.7871,66.7813,120.2754,2.7085,131.1162,15.794,22.6758,21.559,2.9648,13.5143,6.6785,0.7512,122.5315,0.01,10.0
4260.9,223.3304,66.4982,120.2452,2.7052,129.3192,15.0667,22.7656,21.6272,2.7501,13.7531,7.0102,0.7057,122.8999,0.01,10.0
